unnamed:_0,unnamed:_1,unnamed:_2,sheet_name,source_file,document_type,order_no,count,date,supp_ref,supp_name,can_ord,item_code,item,description,quantity,ord_cost,grn_qty,grn_cost,inv_qty,return_qty
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019849.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300003,TAP 15MM STOPPER,10.0,158.4,10.0,158.4,10.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019850.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300004,TAP BALL O STOPPER 15MM,20.0,2860.0,20.0,2860.0,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019851.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300010,FLEXI CONNECTOR 15MMX350MM,30.0,2639.7,30.0,2639.7,30.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019852.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300011,FLEXI CONNECTOR 20MMX350MM,10.0,879.9,10.0,879.9,10.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019853.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300012,FLEXI COMP TRAP 40X40X300MM,20.0,5169.8,20.0,5169.8,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019854.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300020,BAT MASTER BAT 22MM,10.0,52.9,10.0,52.9,10.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019855.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300021,BAT MASTER BAT 15MM,15.0,66.0,15.0,66.0,15.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019856.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300030,UNTWISTED TEE 15MM,20.0,1469.4,20.0,1469.4,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019857.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300031,UNTWISTED PIPE 25MMX6M,20.0,4849.0,20.0,4849.0,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019858.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300032,UNTWISTED COUPLER MIXC 35X3/4,20.0,1249.8,20.0,1249.8,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019859.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300033,UNTWISTED TEE 22MM,20.0,2771.8,20.0,2771.8,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019860.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300034,UNTWISTED COUPLER RED 22X15MM,20.0,1425.4,20.0,1425.4,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019861.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300035,UNTWISTED ELBOW CXC 15MM,20.0,1232.2,20.0,1232.2,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019862.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300036,UNTWISTED ELBOW W PLATE 15MM,20.0,1240.8,20.0,1240.8,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019863.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300037,UNTWISTED COUPLER FIXC 15X1/2,20.0,696.8,20.0,696.8,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019864.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300038,UNTWISTED COUPLER FIXC 20X1/2,20.0,696.8,20.0,696.8,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019865.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300040,RUBBER CONE WHITE,30.0,1104.3,30.0,1104.3,30.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019866.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300041,RUBBER BUNG 44MM,30.0,944.1,30.0,944.1,30.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019867.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300050,TOILET SEAT WOODEN MOULDED,10.0,7484.5,10.0,7484.5,10.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019868.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300051,TOILET CISTERN2 ELF 9L,20.0,13366.4,20.0,13366.4,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019869.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300052,TOILET BOTTOM INLET CISTERN,15.0,10856.7,15.0,10856.7,15.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019870.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300053,TOILET URANIAL SPEADER,10.0,16815.9,10.0,16815.9,10.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019871.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300054,TOILET MECH FRONT FLUSH,20.0,17265.8,20.0,17265.8,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019872.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300060,GYSER TRENDLINE 100L,5.0,47639.15,5.0,47639.15,5.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019873.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300061,GYSER C600 KPA KWIKOT 150L,1.0,9300.13,1.0,9300.13,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019874.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300070,VALVE BRASS CHROME PLATED,30.0,12209.4,30.0,12209.4,30.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019875.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300080,CONNECTOR BRAIDED,20.0,2771.8,20.0,2771.8,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019876.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300090,PIPE POLY 15MMX100 SLABS,20.0,2175.8,20.0,2175.8,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019877.0,1.0,,854724,SETOUTO PROJECTS (PTY) LTD,,,300100,PUTTY PRATELY,15.0,2211.0,15.0,2211.0,15.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019878.0,1.0,,810083,BOLEKANO BUILDING CONTRACTORS,,,269086,PLANT HIRE,1.0,414659.3,1.0,414659.3,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019879.0,1.0,,400833,E.K. CONSTRUCTION AND ALL GENERAL TRADING,,,269086,PLANT HIRE,1.0,732138.3,1.0,732138.3,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019880.0,1.0,,401450,ELEGANT LINE TRADING 785 CC,,,191477,REPAIR,1.0,62841.2,1.0,62841.2,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019881.0,1.0,,401450,ELEGANT LINE TRADING 785 CC,,,R221691,REPAIR & MAINTAIN HIGH MAST LI,1.0,39980.0,1.0,39980.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019882.0,1.0,,401450,ELEGANT LINE TRADING 785 CC,,,176543,REPLACE AND INSTALL ELECTRIC M,1.0,43630.0,1.0,43630.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019883.0,1.0,,401450,ELEGANT LINE TRADING 785 CC,,,176543,REPLACE AND INSTALL ELECTRIC M,1.0,47000.0,1.0,47000.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019884.0,1.0,,401450,ELEGANT LINE TRADING 785 CC,,,176543,REPLACE AND INSTALL ELECTRIC M,1.0,130190.0,1.0,130190.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019885.0,1.0,,810083,BOLEKANO BUILDING CONTRACTORS,,,269086,PLANT HIRE,1.0,72864.0,1.0,72864.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019886.0,1.0,,400833,E.K. CONSTRUCTION AND ALL GENERAL TRADING,,,269086,PLANT HIRE,1.0,240534.0,1.0,240534.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019887.0,1.0,,830056,RULAGANYANG TRADING ENTERPRISE,,,189569,BRANDING,1.0,9900.0,1.0,9900.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019888.0,1.0,,400833,E.K. CONSTRUCTION AND ALL GENERAL TRADING,,,269086,PLANT HIRE,1.0,76176.0,1.0,76176.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019889.0,1.0,,400719,KGAUWE FUNERAL UNDERTAKERS (KGAUWE TRANSPORTATION),,,130358,PAUPER FUNERAL,1.0,6001.0,1.0,6001.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019890.0,1.0,,830056,RULAGANYANG TRADING ENTERPRISE,,,189569,BRANDING,1.0,9900.0,1.0,9900.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019891.0,1.0,,400719,KGAUWE FUNERAL UNDERTAKERS (KGAUWE TRANSPORTATION),,,130358,PAUPER FUNERAL,1.0,6001.0,1.0,6001.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019892.0,1.0,,9003,NTEMI TRADING ENTERPRISE,,,189569,BRANDING,1.0,9900.0,1.0,9900.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019893.0,1.0,,9003,NTEMI TRADING ENTERPRISE,,,189569,BRANDING,1.0,9900.0,1.0,9900.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019894.0,1.0,,402415,MOJALEFA PHOOFOLO FUNERAL HOME (PTY) LTD,,,130358,PAUPER FUNERAL,1.0,6001.0,1.0,6001.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019895.0,1.0,,403081,REMMOGO RETLOTLEGEILE HOLDINGS AND TRADINGS(PTY)LT,,,130358,PAUPER FUNERAL,1.0,2725.0,1.0,2725.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019896.0,1.0,,400719,KGAUWE FUNERAL UNDERTAKERS (KGAUWE TRANSPORTATION),,,130358,PAUPER FUNERAL,1.0,6001.0,1.0,6001.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019900.0,1.0,,403081,REMMOGO RETLOTLEGEILE HOLDINGS AND TRADINGS(PTY)LT,,,130358,PAUPER FUNERAL,1.0,2725.0,1.0,2725.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019901.0,1.0,,400719,KGAUWE FUNERAL UNDERTAKERS (KGAUWE TRANSPORTATION),,,130358,PAUPER FUNERAL,1.0,6001.0,1.0,6001.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019902.0,1.0,,400833,E.K. CONSTRUCTION AND ALL GENERAL TRADING,,,269086,PLANT HIRE,1.0,119232.0,1.0,119232.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019904.0,1.0,,803023,RHUONE PROJECTS AND PLANT HIRE,,,R261607,REPAIR & SERVICE PANELS @ MONI,1.0,608677.75,1.0,608677.75,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019905.0,1.0,,803023,RHUONE PROJECTS AND PLANT HIRE,,,R261607,REPAIR & SERVICE PANELS @ MONI,1.0,127690.25,1.0,127690.25,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019906.0,1.0,,890108,SITHOLE BUSINESS ADVISORY SERVICES,,,E221829,EARTH LEAKAGE,20.0,29000.0,20.0,29000.0,20.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019907.0,1.0,,897541,KE MATLA EXCELLENCE SUPPLIERS AND PROJECTS CC,,,138270,SUPPLY AND DELIVERY,9.0,28800.0,9.0,28800.0,9.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019908.0,1.0,,400833,E.K. CONSTRUCTION AND ALL GENERAL TRADING,,,123428,SUPPLY,150.0,213123.75,150.0,213123.75,150.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019909.0,1.0,,403070,REABETSWE BOPHELO TRADING ENTERPRISE,,,138270,SUPPLY AND DELIVERY,1400.0,193924.5,1400.0,193924.5,1400.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019910.0,1.0,,300032,THOMSENS BREAKDOWN SERVICES,,,EXCESS,excess payable for replacement,1.0,15000.0,1.0,15000.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019911.0,1.0,,300032,THOMSENS BREAKDOWN SERVICES,,,REPAIRS,repair council property,1.0,76653.28,1.0,76653.28,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019912.0,1.0,,400263,@ OFFICE WORLD,,,REPLACE,replace stolen property,1.0,6950.0,1.0,6950.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019913.0,1.0,,8070,VARIEGATED PTY LTD,,,269086,PLANT HIRE,1.0,108000.0,1.0,108000.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019914.0,1.0,,300032,THOMSENS BREAKDOWN SERVICES,,,REPAIR,repair and maintanance,1.0,2860.63,1.0,2860.63,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019915.0,1.0,,401388,KETHUTHULA HOLDINGS (PTY) LTD,,,242468,SUPPLY AND ERECT ROOF TRUSSES,32.0,26940.0,32.0,26940.0,32.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019916.0,1.0,,401388,KETHUTHULA HOLDINGS (PTY) LTD,,,261405,REMOVE,1.0,149609.8,1.0,149609.8,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019917.0,1.0,,400833,E.K. CONSTRUCTION AND ALL GENERAL TRADING,,,269086,PLANT HIRE,1.0,333787.5,1.0,333787.5,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019918.0,1.0,,910075,BALENI CONTRACTORS (PTY) LTD,,,EXCESS,excess payable for replacement,1.0,2500.0,1.0,2500.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019919.0,1.0,,910075,BALENI CONTRACTORS (PTY) LTD,,,EXCESS ADD,additional excess,1.0,8992.97,1.0,8992.97,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019920.0,1.0,,910075,BALENI CONTRACTORS (PTY) LTD,,,REPLACE,replace stolen property,1.0,8007.03,1.0,8007.03,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019921.0,1.0,,800093,BOKAO AMAHLE HOLDINGS (PTY) LTD,,,138270,SUPPLY AND DELIVERY,1.0,110528.31,1.0,110528.31,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019922.0,1.0,,800105,AGAH MARKETING AND PROJECTS,,,102598,CLIPS:FOLD BACK 19MM,300.0,237.0,300.0,237.0,300.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019923.0,1.0,,800105,AGAH MARKETING AND PROJECTS,,,102601,CLIPS :FOLDS  BACK.25MM,500.0,650.0,500.0,650.0,500.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019924.0,1.0,,800105,AGAH MARKETING AND PROJECTS,,,102628,CLIPS FOLD BACK 32MM,500.0,825.0,500.0,825.0,500.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019925.0,1.0,,800105,AGAH MARKETING AND PROJECTS,,,102636,CLIPS :FOLD BACK 41MM,500.0,1485.0,500.0,1485.0,500.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019926.0,1.0,,800105,AGAH MARKETING AND PROJECTS,,,102652,CLIPS FOLD BACK 50MM,200.0,872.0,200.0,872.0,200.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019927.0,1.0,,800105,AGAH MARKETING AND PROJECTS,,,105864,PRITT,400.0,12388.0,400.0,12388.0,400.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019928.0,1.0,,800105,AGAH MARKETING AND PROJECTS,,,105937,PENS BALL POINT BLUE RED & BLA,6000.0,27840.0,6000.0,27840.0,6000.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019929.0,1.0,,800105,AGAH MARKETING AND PROJECTS,,,106739,ADDING MACHINE ROLLS 57 X 57,500.0,2220.0,500.0,2220.0,500.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019931.0,1.0,,258554,GREENFORD ENGINEERING CONSTRUCTION (PTY) LTD,,,169221,REPAIRS,1.0,95464.95,1.0,95464.95,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019932.0,1.0,,400833,E.K. CONSTRUCTION AND ALL GENERAL TRADING,,,269086,PLANT HIRE,1.0,209882.48,1.0,209882.48,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019933.0,1.0,,401701,ACTOM (PTY) LTD,,,A299726,ASSESSMENT/ELECTRICAL PROTECTI,1.0,570907.93,1.0,570907.93,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019934.0,1.0,,400349,ACTOM  PROTECTION AND CONTROL,,,151966,testing equipment battery,1.0,250683.9,1.0,250683.9,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019935.0,1.0,,400349,ACTOM  PROTECTION AND CONTROL,,,138270,SUPPLY AND DELIVERY,1.0,387869.59,1.0,387869.59,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019936.0,1.0,,400951,KLERKSDORP PANEL BEATERS & SPRAY PAINTERS,,,REPAIR,repair and maintanance,1.0,9632.48,1.0,9632.48,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019937.0,1.0,,810083,BOLEKANO BUILDING CONTRACTORS,,,0000123458,repair rear lower body panel:,1.0,374450.98,1.0,374450.98,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019938.0,1.0,,810083,BOLEKANO BUILDING CONTRACTORS,,,0000123458,repair rear lower body panel:,1.0,39960.4,1.0,39960.4,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019939.0,1.0,,200195,M EBERSOHN TRUCK AND DIESEL CC               L,,,0000123458,repair rear lower body panel:,1.0,188872.77,1.0,188872.77,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019940.0,1.0,,200195,M EBERSOHN TRUCK AND DIESEL CC               L,,,0000123458,repair rear lower body panel:,1.0,128821.03,1.0,128821.03,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019941.0,1.0,,200195,M EBERSOHN TRUCK AND DIESEL CC               L,,,0000123458,repair rear lower body panel:,1.0,85833.56,1.0,85833.56,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019942.0,1.0,,200195,M EBERSOHN TRUCK AND DIESEL CC               L,,,0000123458,repair rear lower body panel:,1.0,36310.92,1.0,36310.92,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019943.0,1.0,,200195,M EBERSOHN TRUCK AND DIESEL CC               L,,,0000123458,repair rear lower body panel:,1.0,13274.2,1.0,13274.2,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019944.0,1.0,,200195,M EBERSOHN TRUCK AND DIESEL CC               L,,,0000123458,repair rear lower body panel:,1.0,24232.1,1.0,24232.1,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019945.0,1.0,,200195,M EBERSOHN TRUCK AND DIESEL CC               L,,,0000123458,repair rear lower body panel:,1.0,19216.5,1.0,19216.5,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019947.0,1.0,,200195,M EBERSOHN TRUCK AND DIESEL CC               L,,,0000123458,repair rear lower body panel:,1.0,14731.5,1.0,14731.5,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019948.0,1.0,,200195,M EBERSOHN TRUCK AND DIESEL CC               L,,,0000123458,repair rear lower body panel:,1.0,59793.97,1.0,59793.97,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019949.0,1.0,,400951,KLERKSDORP PANEL BEATERS & SPRAY PAINTERS,,,REPLACE,replace stolen property,1.0,5003.28,1.0,5003.28,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019950.0,1.0,,401166,NDABAMBI TRADING ENTERPRISE (PTY) LTD,,,138270,SUPPLY AND DELIVERY,1.0,20115.0,1.0,20115.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019951.0,1.0,,402547,KHUWAIT GROUP OF COMPANIES,CAN,,0000123458,repair rear lower body panel:,1.0,0.0,0.0,0.0,0.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019952.0,1.0,,105163,RONMAR OFFICE EQUIPMENT,,,123428,SUPPLY,1.0,6389.7,1.0,6389.7,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019953.0,1.0,,402547,KHUWAIT GROUP OF COMPANIES,,,0000123458,repair rear lower body panel:,1.0,345.0,1.0,345.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019954.0,1.0,,849534,BODIRELWA (PTY) LTD,,,138270,SUPPLY AND DELIVERY,1.0,27907.58,1.0,27907.58,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019955.0,1.0,,821099,QGAPHELA TRADING ENTERPRISE,,,138270,SUPPLY AND DELIVERY,1.0,13800.0,1.0,13800.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019956.0,1.0,,402547,KHUWAIT GROUP OF COMPANIES,,,0000123458,repair rear lower body panel:,1.0,12020.0,1.0,12020.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019957.0,1.0,,658425,SBNLL HOLDINGS,,,138270,SUPPLY AND DELIVERY,1.0,9864.89,1.0,9864.89,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019958.0,1.0,,402547,KHUWAIT GROUP OF COMPANIES,,,S000018016,SERVICE,1.0,8430.0,1.0,8430.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019959.0,1.0,,402547,KHUWAIT GROUP OF COMPANIES,CAN,,0000123458,repair rear lower body panel:,1.0,0.0,0.0,0.0,0.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019960.0,1.0,,402547,KHUWAIT GROUP OF COMPANIES,,,0000123458,repair rear lower body panel:,1.0,2400.0,1.0,2400.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019961.0,1.0,,402547,KHUWAIT GROUP OF COMPANIES,,,0000123458,repair rear lower body panel:,1.0,30530.0,1.0,30530.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019962.0,1.0,,402547,KHUWAIT GROUP OF COMPANIES,CAN,,0000123458,repair rear lower body panel:,1.0,0.0,0.0,0.0,0.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019963.0,1.0,,402547,KHUWAIT GROUP OF COMPANIES,CAN,,0000123458,repair rear lower body panel:,1.0,0.0,0.0,0.0,0.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019964.0,1.0,,402547,KHUWAIT GROUP OF COMPANIES,CAN,,0000123458,repair rear lower body panel:,1.0,0.0,0.0,0.0,0.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019965.0,1.0,,402547,KHUWAIT GROUP OF COMPANIES,CAN,,0000123458,repair rear lower body panel:,1.0,0.0,0.0,0.0,0.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019966.0,1.0,,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,,,0000123458,repair rear lower body panel:,1.0,1100.04,1.0,1100.04,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019967.0,1.0,,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,,,T000019079,TYRE,1.0,1995.08,1.0,1995.08,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019968.0,1.0,,400843,KROONSTAD TREKKER DIENSTE CC,,,0000123458,repair rear lower body panel:,1.0,12316.5,1.0,12316.5,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019969.0,1.0,,400843,KROONSTAD TREKKER DIENSTE CC,,,0000123458,repair rear lower body panel:,1.0,12834.0,1.0,12834.0,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019970.0,1.0,,400843,KROONSTAD TREKKER DIENSTE CC,,,0000123458,repair rear lower body panel:,1.0,29809.04,1.0,29809.04,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019971.0,1.0,,400843,KROONSTAD TREKKER DIENSTE CC,,,0000123458,repair rear lower body panel:,1.0,11133.15,1.0,11133.15,1.0,0.0
,,,2023 SupplierOrders,2023 List of Suppliers.xlsx,xlsx,1019972.0,1.0,,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,,,0000123458,repair rear lower body panel:,1.0,1100.04,1.0,1100.04,1.0,0.0
